# Count_Alpha
# Time (s), Counts, Avg Counts in 1 seconds
      1229,    114, 116.996
      1230,    147, 117.021
      1231,     96, 117.003
      1232,     93, 116.983
      1233,    126, 116.991
      1234,    116, 116.990
      1235,    122, 116.994
      1236,    123, 116.999
      1237,    108, 116.992
      1238,    115, 116.990
      1239,    104, 116.979
      1240,     99, 116.964
      1241,    113, 116.961
      1242,    100, 116.946
      1243,    109, 116.940
      1244,    140, 116.959
      1245,    133, 116.972
      1246,     96, 116.955
      1247,    118, 116.956
      1248,    104, 116.945
      1249,    108, 116.937
# Time (s), Counts, Avg Counts in 1 seconds
      1250,    107, 116.929
      1251,     89, 116.906
      1252,    105, 116.896
      1253,    131, 116.908
      1254,     97, 116.891
      1255,    118, 116.892
